ID;Faixa Horário;Mês do Fato;Ano do Fato;Dia da Semana;CONSUMAÇÃO;QUALIFICACAO_CATEGORIA;UF;GRUPO NATUREZA;Faixa Etária;PROFISSAO;SEXO;Cor;Grau de Instrução;RISP
482453130;18 AS 20:59;Ago;2020;Sex;CONSUMADO;VÍTIMA;GO;Ameaça;30 A 34;COMERCIANTE;FEMININO;NÃO INFORMADO;99. NÃO INFORMADO;17ª RISP - ÁGUAS LINDAS
500768340;21 AS 23:59;Out;2020;Sex;CONSUMADO;VÍTIMA;GO;Ameaça;35 A 64;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;03ª RISP - ANÁPOLIS
509800350;15 AS 17:59;Nov;2020;Quar;CONSUMADO;VÍTIMA;GO;Ameaça;35 A 64;Não Informado;FEMININO;BRANCA;04. MÉDIO COMPLETO;03ª RISP - ANÁPOLIS
492510240;21 AS 23:59;Set;2020;Qui;CONSUMADO;VÍTIMA;GO;Ameaça;35 A 64;Não Informado;FEMININO;BRANCA;Não Informado;03ª RISP - ANÁPOLIS
437671260;18 AS 20:59;Abr;2020;Qui;CONSUMADO;VÍTIMA;GO;Ameaça;18 A 24;Do Lar;FEMININO;NÃO INFORMADO;04. MÉDIO COMPLETO;01ª RISP - GOIÂNIA
422341290;9 AS 11:59;Mar;2020;Ter;CONSUMADO;VÍTIMA;GO;Ameaça;25 A 29;Auxiliar de Cozinha;FEMININO;NÃO INFORMADO;04. MÉDIO COMPLETO;01ª RISP - GOIÂNIA
406413450;18 AS 20:59;Jan;2020;Seg;CONSUMADO;VÍTIMA;GO;Ameaça;18 A 24;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;15ª RISP - GOIANÉSIA
472686570;21 AS 23:59;Jul;2020;Sex;CONSUMADO;VÍTIMA;GO;Ameaça;25 A 29;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;01ª RISP - GOIÂNIA
473035560;12 AS 14:59;Jul;2020;Sáb;CONSUMADO;VÍTIMA;GO;Ameaça;18 A 24;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;01ª RISP - GOIÂNIA
490105260;21 AS 23:59;Set;2020;Ter;CONSUMADO;VÍTIMA;GO;Ameaça;25 A 29;Do Lar;FEMININO;NÃO INFORMADO;01. FUNDAMENTAL INCOMPLETO;01ª RISP - GOIÂNIA
495908370;18 AS 20:59;Set;2020;Sáb;CONSUMADO;VÍTIMA;GO;Ameaça;35 A 64;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;01ª RISP - GOIÂNIA
496614390;21 AS 23:59;Set;2020;Seg;CONSUMADO;VÍTIMA;GO;Ameaça;35 A 64;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;01ª RISP - GOIÂNIA
497318880;12 AS 14:59;Set;2020;Quar;CONSUMADO;VÍTIMA;GO;Ameaça;35 A 64;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;17ª RISP - ÁGUAS LINDAS
500832570;15 AS 17:59;Out;2020;Sáb;CONSUMADO;VÍTIMA;GO;Ameaça;35 A 64;Costureiro;FEMININO;NÃO INFORMADO;99. NÃO INFORMADO;01ª RISP - GOIÂNIA
502425420;18 AS 20:59;Out;2020;Qui;CONSUMADO;VÍTIMA;GO;Ameaça;30 A 34;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;03ª RISP - ANÁPOLIS
502958640;15 AS 17:59;Out;2020;Sex;CONSUMADO;VÍTIMA;GO;Ameaça;18 A 24;Desempregado;FEMININO;PARDA;03. MÉDIO INCOMPLETO;01ª RISP - GOIÂNIA
506327160;18 AS 20:59;Out;2020;Dom;CONSUMADO;VÍTIMA;GO;Ameaça;25 A 29;Não Informado;FEMININO;BRANCA;Não Informado;01ª RISP - GOIÂNIA
519782820;0 AS 2:59;Nov;2020;Ter;CONSUMADO;VÍTIMA;GO;Ameaça;18 A 24;Desempregado;FEMININO;NÃO INFORMADA;Não Informado;03ª RISP - ANÁPOLIS
529762110;0 AS 2:59;Dez;2020;Qui;CONSUMADO;VÍTIMA;GO;Ameaça;30 A 34;Desempregado;FEMININO;PARDA;01. FUNDAMENTAL INCOMPLETO;01ª RISP - GOIÂNIA
532216590;0 AS 2:59;Dez;2020;Qui;CONSUMADO;VÍTIMA;GO;Ameaça;18 A 24;Não Informado;FEMININO;NÃO INFORMADA;04. MÉDIO COMPLETO;15ª RISP - GOIANÉSIA
442129230;9 AS 11:59;Abr;2020;Quar;CONSUMADO;VÍTIMA;GO;Ameaça;35 A 64;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;14ª RISP - JATAÍ
440668560;9 AS 11:59;Abr;2020;Sáb;CONSUMADO;VÍTIMA;GO;Ameaça;25 A 29;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;01ª RISP - GOIÂNIA
510023970;21 AS 23:59;Nov;2020;Ter;CONSUMADO;VÍTIMA;GO;Ameaça;25 A 29;Do Lar;FEMININO;NEGRA;Não Informado;07ª RISP - IPORÁ
403619460;0 AS 2:59;Jan;2020;Sáb;CONSUMADO;VÍTIMA;GO;Ameaça;12 A 17;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;08ª RISP - RIO VERDE
404000250;15 AS 17:59;Jan;2020;Ter;CONSUMADO;VÍTIMA;GO;Ameaça;35 A 64;Estudante;FEMININO;NÃO INFORMADO;05. SUPERIOR INCOMPLETO;07ª RISP - IPORÁ
