ID;Faixa Horário;Mês do Fato;Ano do Fato;Dia da Semana;CONSUMAÇÃO;QUALIFICACAO_CATEGORIA;GRUPO NATUREZA;Faixa Etária;PROFISSAO;SEXO;Cor;Grau de Instrução;RISP
482453130;18 AS 20:59;Ago;2020;Sex;CONSUMADO;VÍTIMA;Injúria;30 A 34;COMERCIANTE;FEMININO;NÃO INFORMADO;99. NÃO INFORMADO;17ª RISP - ÁGUAS LINDAS
503601720;15 AS 17:59;Out;2020;Dom;CONSUMADO;VÍTIMA;Injúria;35 A 64;Não Informado;FEMININO;BRANCA;Não Informado;03ª RISP - ANÁPOLIS
423537420;18 AS 20:59;Mar;2020;Qui;CONSUMADO;VÍTIMA;Injúria;18 A 24;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;01ª RISP - GOIÂNIA
433570530;18 AS 20:59;Abr;2020;Sex;CONSUMADO;VÍTIMA;Injúria;35 A 64;Do Lar;FEMININO;NÃO INFORMADO;04. MÉDIO COMPLETO;01ª RISP - GOIÂNIA
437671260;18 AS 20:59;Abr;2020;Qui;CONSUMADO;VÍTIMA;Injúria;18 A 24;Do Lar;FEMININO;NÃO INFORMADO;04. MÉDIO COMPLETO;01ª RISP - GOIÂNIA
422341290;9 AS 11:59;Mar;2020;Ter;CONSUMADO;VÍTIMA;Injúria;25 A 29;Auxiliar de Cozinha;FEMININO;NÃO INFORMADO;04. MÉDIO COMPLETO;01ª RISP - GOIÂNIA
406413450;18 AS 20:59;Jan;2020;Seg;CONSUMADO;VÍTIMA;Injúria;18 A 24;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;15ª RISP - GOIANÉSIA
473035560;12 AS 14:59;Jul;2020;Sáb;CONSUMADO;VÍTIMA;Injúria;18 A 24;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;01ª RISP - GOIÂNIA
490105260;21 AS 23:59;Set;2020;Ter;CONSUMADO;VÍTIMA;Injúria;25 A 29;Do Lar;FEMININO;NÃO INFORMADO;01. FUNDAMENTAL INCOMPLETO;01ª RISP - GOIÂNIA
500832570;15 AS 17:59;Out;2020;Sáb;CONSUMADO;VÍTIMA;Injúria;35 A 64;Costureiro;FEMININO;NÃO INFORMADO;99. NÃO INFORMADO;01ª RISP - GOIÂNIA
502425420;18 AS 20:59;Out;2020;Qui;CONSUMADO;VÍTIMA;Injúria;30 A 34;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;03ª RISP - ANÁPOLIS
506327160;18 AS 20:59;Out;2020;Dom;CONSUMADO;VÍTIMA;Injúria;25 A 29;Não Informado;FEMININO;BRANCA;Não Informado;01ª RISP - GOIÂNIA
508629900;9 AS 11:59;Nov;2020;Dom;CONSUMADO;VÍTIMA;Injúria;18 A 24;Não Informado;FEMININO;BRANCA;04. MÉDIO COMPLETO;02ª RISP - APARECIDA DE GOIÂNIA
519782820;0 AS 2:59;Nov;2020;Ter;CONSUMADO;VÍTIMA;Injúria;18 A 24;Desempregado;FEMININO;NÃO INFORMADA;Não Informado;03ª RISP - ANÁPOLIS
524467440;21 AS 23:59;Dez;2020;Dom;CONSUMADO;VÍTIMA;Injúria;30 A 34;Não Informado;FEMININO;PARDA;Não Informado;16ª RISP - TRINDADE
529762110;0 AS 2:59;Dez;2020;Qui;CONSUMADO;VÍTIMA;Injúria;30 A 34;Desempregado;FEMININO;PARDA;01. FUNDAMENTAL INCOMPLETO;01ª RISP - GOIÂNIA
440668560;9 AS 11:59;Abr;2020;Sáb;CONSUMADO;VÍTIMA;Injúria;25 A 29;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;01ª RISP - GOIÂNIA
510023970;21 AS 23:59;Nov;2020;Ter;CONSUMADO;VÍTIMA;Injúria;25 A 29;Do Lar;FEMININO;NEGRA;Não Informado;07ª RISP - IPORÁ
416445150;12 AS 14:59;Fev;2020;Dom;CONSUMADO;VÍTIMA;Injúria;35 A 64;Autônomo;FEMININO;NÃO INFORMADO;Não Informado;01ª RISP - GOIÂNIA
