ID;Faixa Horário;Mês do Fato;Ano do Fato;Dia da Semana;CONSUMAÇÃO;QUALIFICACAO_CATEGORIA;UF;GRUPO NATUREZA;Faixa Etária;PROFISSAO;SEXO;Cor;Grau de Instrução;RISP
485338650;15 AS 17:59;Ago;2020;Sáb;CONSUMADO;VÍTIMA;GO;Feminicídio;35 A 64;AUXILIAR DE LIMPEZA;FEMININO;NÃO INFORMADO;02. FUNDAMENTAL COMPLETO;01ª RISP - GOIÂNIA
453216900;21 AS 23:59;Mai;2020;Sex;CONSUMADO;VÍTIMA;GO;Feminicídio;25 A 29;Não Informado;FEMININO;BRANCA;Não Informado;04ª RISP - CIDADE DE GOIÁS
415304100;6 AS 8:59;Fev;2020;Qui;CONSUMADO;VÍTIMA;GO;Feminicídio;30 A 34;Gerente Comercial;FEMININO;NÃO INFORMADA;04. MÉDIO COMPLETO;02ª RISP - APARECIDA DE GOIÂNIA
519060480;15 AS 17:59;Nov;2020;Dom;CONSUMADO;VÍTIMA;GO;Feminicídio;35 A 64;Não Informado;FEMININO;NÃO INFORMADA;Não Informado;13ª RISP - POSSE
500643690;0 AS 2:59;Out;2020;Sáb;CONSUMADO;VÍTIMA;GO;Feminicídio;65 OU +;Não Informado;FEMININO;NÃO INFORMADA;Não Informado;10ª RISP - CERES
419446050;18 AS 20:59;Fev;2020;Seg;CONSUMADO;VÍTIMA;GO;Feminicídio;30 A 34;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;05ª RISP - LUZIÂNIA
466075440;12 AS 14:59;Jul;2020;Dom;CONSUMADO;VÍTIMA;GO;Feminicídio;18 A 24;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;05ª RISP - LUZIÂNIA
421835970;21 AS 23:59;Mar;2020;Dom;CONSUMADO;VÍTIMA;GO;Feminicídio;30 A 34;doméstica;FEMININO;NÃO INFORMADO;01. FUNDAMENTAL INCOMPLETO;05ª RISP - LUZIÂNIA
518815980;21 AS 23:59;Nov;2020;Sáb;CONSUMADO;VÍTIMA;GO;Feminicídio;25 A 29;Não Informado;FEMININO;NÃO INFORMADA;Não Informado;08ª RISP - RIO VERDE
508942020;9 AS 11:59;Nov;2020;Seg;CONSUMADO;VÍTIMA;GO;Feminicídio;30 A 34;Não Informado;FEMININO;BRANCA;Não Informado;11ª RISP - FORMOSA
480067530;0 AS 2:59;Ago;2020;Sáb;CONSUMADO;VÍTIMA;GO;Feminicídio;35 A 64;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;18ª RISP - URUAÇU
477638940;9 AS 11:59;Ago;2020;Sáb;CONSUMADO;VÍTIMA;GO;Feminicídio;18 A 24;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;19ª RISP - CALDAS NOVAS
470346570;21 AS 23:59;Jul;2020;Sex;CONSUMADO;VÍTIMA;GO;Feminicídio;35 A 64;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;07ª RISP - IPORÁ
429404070;21 AS 23:59;Mar;2020;Sáb;CONSUMADO;VÍTIMA;GO;Feminicídio;25 A 29;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;06ª RISP - ITUMBIARA
490721280;6 AS 8:59;Set;2020;Dom;CONSUMADO;VÍTIMA;GO;Feminicídio;30 A 34;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;11ª RISP - FORMOSA
449478630;21 AS 23:59;Mai;2020;Ter;CONSUMADO;VÍTIMA;GO;Feminicídio;25 A 29;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;05ª RISP - LUZIÂNIA
505560510;21 AS 23:59;Out;2020;Sex;CONSUMADO;VÍTIMA;GO;Feminicídio;35 A 64;Não Informado;FEMININO;NÃO INFORMADA;Não Informado;05ª RISP - LUZIÂNIA
494384670;6 AS 8:59;Set;2020;Quar;CONSUMADO;VÍTIMA;GO;Feminicídio;35 A 64;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;03ª RISP - ANÁPOLIS
435912870;15 AS 17:59;Abr;2020;Sáb;CONSUMADO;VÍTIMA;GO;Feminicídio;18 A 24;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;16ª RISP - TRINDADE
406171680;15 AS 17:59;Jan;2020;Seg;CONSUMADO;VÍTIMA;GO;Feminicídio;12 A 17;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;17ª RISP - ÁGUAS LINDAS
495857700;21 AS 23:59;Set;2020;Sáb;CONSUMADO;VÍTIMA;GO;Feminicídio;18 A 24;Auxiliar Administrativo;FEMININO;NÃO INFORMADO;04. MÉDIO COMPLETO;02ª RISP - APARECIDA DE GOIÂNIA
530073930;3 AS 5:59;Dez;2020;Ter;CONSUMADO;VÍTIMA;GO;Feminicídio;35 A 64;Não Informado;FEMININO;NÃO INFORMADA;Não Informado;09ª RISP - CATALÃO
502079400;18 AS 20:59;Out;2020;Ter;CONSUMADO;VÍTIMA;GO;Feminicídio;25 A 29;Do Lar;FEMININO;BRANCA;03. MÉDIO INCOMPLETO;05ª RISP - LUZIÂNIA
