ID;Faixa Horário;Mês do Fato;Ano do Fato;Dia da Semana;CONSUMAÇÃO;QUALIFICACAO_CATEGORIA;UF;GRUPO NATUREZA;NATUREZA;Faixa Etária;PROFISSAO;SEXO;Cor;Grau de Instrução;RISP
482453130;18 AS 20:59;Ago;2020;Sex;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 1°, Inc. III do CPB Lesão corporal de natureza grave se resulta debilidade permante de membro, sentido ou função;30 A 34;COMERCIANTE;FEMININO;NÃO INFORMADO;99. NÃO INFORMADO;17ª RISP - ÁGUAS LINDAS
503601720;15 AS 17:59;Out;2020;Dom;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129 Caput do CPB Lesão corporal dolosa;35 A 64;Não Informado;FEMININO;BRANCA;Não Informado;03ª RISP - ANÁPOLIS
507555150;12 AS 14:59;Out;2020;Qui;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;35 A 64;Não Informado;FEMININO;PARDA;Não Informado;03ª RISP - ANÁPOLIS
509800350;15 AS 17:59;Nov;2020;Quar;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;35 A 64;Não Informado;FEMININO;BRANCA;04. MÉDIO COMPLETO;03ª RISP - ANÁPOLIS
499855170;18 AS 20:59;Out;2020;Quar;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129 Caput do CPB Lesão corporal dolosa;35 A 64;Não Informado;FEMININO;PARDA;Não Informado;03ª RISP - ANÁPOLIS
522944850;18 AS 20:59;Dez;2020;Quar;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;35 A 64;Não Informado;FEMININO;PARDA;Não Informado;03ª RISP - ANÁPOLIS
435392850;21 AS 23:59;Abr;2020;Qui;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;25 A 29;Do Lar;FEMININO;NÃO INFORMADO;02. FUNDAMENTAL COMPLETO;19ª RISP - CALDAS NOVAS
436754970;0 AS 2:59;Abr;2020;Ter;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129 Caput do CPB Lesão corporal dolosa;18 A 24;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;01ª RISP - GOIÂNIA
438151410;3 AS 5:59;Abr;2020;Sáb;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129 Caput do CPB Lesão corporal dolosa;30 A 34;Não Informado;FEMININO;NÃO INFORMADO;99. NÃO INFORMADO;05ª RISP - LUZIÂNIA
455849220;12 AS 14:59;Jun;2020;Sáb;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;0 A 11;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;01ª RISP - GOIÂNIA
458534040;0 AS 2:59;Jun;2020;Dom;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;25 A 29;Operador de Caixa;FEMININO;NÃO INFORMADO;04. MÉDIO COMPLETO;01ª RISP - GOIÂNIA
473035560;12 AS 14:59;Jul;2020;Sáb;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;18 A 24;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;01ª RISP - GOIÂNIA
490105260;21 AS 23:59;Set;2020;Ter;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;25 A 29;Do Lar;FEMININO;NÃO INFORMADO;01. FUNDAMENTAL INCOMPLETO;01ª RISP - GOIÂNIA
502958640;15 AS 17:59;Out;2020;Sex;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;18 A 24;Desempregado;FEMININO;PARDA;03. MÉDIO INCOMPLETO;01ª RISP - GOIÂNIA
506327160;18 AS 20:59;Out;2020;Dom;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;25 A 29;Não Informado;FEMININO;BRANCA;Não Informado;01ª RISP - GOIÂNIA
513397560;9 AS 11:59;Nov;2020;Sáb;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;35 A 64;Do Lar;FEMININO;PARDA;Não Informado;16ª RISP - TRINDADE
519782820;0 AS 2:59;Nov;2020;Ter;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;18 A 24;Desempregado;FEMININO;NÃO INFORMADA;Não Informado;03ª RISP - ANÁPOLIS
529814880;12 AS 14:59;Dez;2020;Sex;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;12 A 17;Não Informado;FEMININO;BRANCA;Não Informado;01ª RISP - GOIÂNIA
521720940;18 AS 20:59;Dez;2020;Dom;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;35 A 64;Não Informado;FEMININO;BRANCA;Não Informado;08ª RISP - RIO VERDE
442129230;9 AS 11:59;Abr;2020;Quar;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;35 A 64;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;14ª RISP - JATAÍ
440668560;9 AS 11:59;Abr;2020;Sáb;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;25 A 29;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;01ª RISP - GOIÂNIA
501924330;18 AS 20:59;Out;2020;Ter;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;25 A 29;Ajudante Geral;FEMININO;NÃO INFORMADA;04. MÉDIO COMPLETO;08ª RISP - RIO VERDE
510023970;21 AS 23:59;Nov;2020;Ter;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;25 A 29;Do Lar;FEMININO;NEGRA;Não Informado;07ª RISP - IPORÁ
